trip_id,arrival_time,departure_time,start_pickup_drop_off_window,end_pickup_drop_off_window,stop_id,stop_sequence,pickup_type,drop_off_type,local_zone_id,stop_headsign,timepoint,pickup_booking_rule_id,drop_off_booking_rule_id
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:15:00,06:15:00,,,IDFM:22222,5,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:16:00,06:16:00,,,IDFM:22230,6,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:18:00,06:18:00,,,IDFM:22157,7,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:19:00,06:19:00,,,IDFM:22229,8,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:20:00,06:20:00,,,IDFM:22217,9,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:22:00,06:22:00,,,IDFM:22226,10,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:23:00,06:23:00,,,IDFM:463198,11,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:25:00,06:25:00,,,IDFM:22093,12,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:26:00,06:26:00,,,IDFM:22224,13,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:28:00,06:28:00,,,IDFM:22218,14,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:30:00,06:30:00,,,IDFM:22225,15,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:31:00,06:31:00,,,IDFM:22129,16,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:32:00,06:32:00,,,IDFM:22227,17,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:34:00,06:34:00,,,IDFM:22231,18,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:36:00,06:36:00,,,IDFM:22219,19,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:38:00,06:38:00,,,IDFM:22238,20,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:40:00,06:40:00,,,IDFM:22234,21,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:42:00,06:42:00,,,IDFM:22232,22,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_5,06:44:00,06:44:00,,,IDFM:22233,23,1,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,05:43:00,05:43:00,,,IDFM:22237,0,0,1,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,05:45:00,05:45:00,,,IDFM:463214,1,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,05:46:00,05:46:00,,,IDFM:463213,2,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,05:48:00,05:48:00,,,IDFM:463260,3,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,05:50:00,05:50:00,,,IDFM:463085,4,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,05:51:00,05:51:00,,,IDFM:22222,5,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,05:52:00,05:52:00,,,IDFM:22230,6,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,05:54:00,05:54:00,,,IDFM:22157,7,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,05:55:00,05:55:00,,,IDFM:22229,8,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,05:56:00,05:56:00,,,IDFM:22217,9,0,0,,,1,,
