route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-3726-260,Gare de Conflans Romagné,,1,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_139,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_104,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_110,Châtillon Montrouge,,0,,,2,0
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-729-260,Gare de Conflans Romagné,,1,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_38,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_149,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_95,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_9,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_140,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_59,Châtillon Montrouge,,0,,,2,0
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-3214-260,Gare de Conflans Romagné,,1,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_60,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_80,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_94,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_178,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_165,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_5,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_150,Châtillon Montrouge,,0,,,2,0
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-3216-260,Gare de Conflans Romagné,,1,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_86,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_185,Châtillon Montrouge,,0,,,2,0
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-3724-260,Gare de Conflans Romagné,,1,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_17,Châtillon Montrouge,,0,,,2,0
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-3722-260,Gare de Conflans Romagné,,1,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_4,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_162,Châtillon Montrouge,,0,,,2,0
